STRUCT,Info,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU name:,Intel(R) Xeon(R) Gold 6467C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU type:,Intel SapphireRapids processor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU clock:,3.399972263 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE,Region calc,Group 1 Raw,CACHES,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region Info,HWThread 0,HWThread 1,HWThread 2,HWThread 3,HWThread 4,HWThread 5,HWThread 6,HWThread 7,HWThread 8,HWThread 9,HWThread 10,HWThread 11,HWThread 12,HWThread 13,HWThread 14,HWThread 15,HWThread 16,HWThread 17,HWThread 18,HWThread 19,HWThread 20,HWThread 21,HWThread 22,HWThread 23,HWThread 24,HWThread 25,HWThread 26,HWThread 27,HWThread 28,HWThread 29,HWThread 30,HWThread 31,HWThread 32,HWThread 33,HWThread 34,HWThread 35,HWThread 36,HWThread 37,HWThread 38,HWThread 39,HWThread 40,HWThread 41,HWThread 42,HWThread 43,HWThread 44,HWThread 45,HWThread 46,HWThread 47,HWThread 48,HWThread 49,HWThread 50,HWThread 51,HWThread 52,HWThread 53,HWThread 54,HWThread 55,HWThread 56,HWThread 57,HWThread 58,HWThread 59,
RDTSC Runtime [s],76.353810,76.354240,76.354120,76.354310,76.354250,76.354380,76.354200,76.354220,76.354240,76.354340,76.354140,76.354330,76.354120,76.354140,76.354190,76.354090,76.354100,76.354180,76.354160,76.354380,76.354210,76.354270,76.354230,76.354240,76.354140,76.354280,76.354180,76.354020,76.354040,76.354330,76.353670,76.353920,76.353920,76.353930,76.353970,76.353950,76.354060,76.354160,76.354100,76.354080,76.354060,76.354020,76.354070,76.353980,76.354040,76.353950,76.354000,76.353930,76.354170,76.354250,76.354160,76.354220,76.354240,76.354240,76.354070,76.354120,76.354120,76.354060,76.354060,76.354060,
call count,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
Event,Counter,HWThread 0,HWThread 1,HWThread 2,HWThread 3,HWThread 4,HWThread 5,HWThread 6,HWThread 7,HWThread 8,HWThread 9,HWThread 10,HWThread 11,HWThread 12,HWThread 13,HWThread 14,HWThread 15,HWThread 16,HWThread 17,HWThread 18,HWThread 19,HWThread 20,HWThread 21,HWThread 22,HWThread 23,HWThread 24,HWThread 25,HWThread 26,HWThread 27,HWThread 28,HWThread 29,HWThread 30,HWThread 31,HWThread 32,HWThread 33,HWThread 34,HWThread 35,HWThread 36,HWThread 37,HWThread 38,HWThread 39,HWThread 40,HWThread 41,HWThread 42,HWThread 43,HWThread 44,HWThread 45,HWThread 46,HWThread 47,HWThread 48,HWThread 49,HWThread 50,HWThread 51,HWThread 52,HWThread 53,HWThread 54,HWThread 55,HWThread 56,HWThread 57,HWThread 58,HWThread 59
INSTR_RETIRED_ANY,FIXC0,158100300000,157125400000,158475500000,159704600000,161096300000,161982100000,158529700000,157663000000,158413900000,159839300000,161049400000,161942200000,158920300000,157780600000,158312000000,159665200000,160409900000,162251200000,158633800000,157273500000,158336200000,159283300000,160475100000,161859800000,158926200000,157881600000,159140000000,159891300000,160720100000,162026600000,159212800000,157717200000,159226600000,160279300000,160934900000,162418200000,163083600000,161073900000,158935000000,163564800000,164225500000,165637100000,159809500000,158092000000,159001000000,160713700000,161692500000,163238000000,161524100000,156866400000,160984000000,162123100000,162881400000,163801400000,166649100000,164476000000,166038400000,163339000000,164930400000,169344900000
CPU_CLK_UNHALTED_CORE,FIXC1,258561600000,258014800000,258071000000,258187000000,258228200000,258205800000,258712500000,257952900000,258109200000,258120700000,258231700000,258119900000,258652400000,257922700000,258054700000,258060800000,258093500000,257960400000,258815800000,257742600000,257849900000,257955800000,258123600000,258016700000,258701400000,257905900000,258106400000,257819300000,258084700000,258088800000,259140400000,257602500000,258091400000,258159300000,258485300000,258144200000,259171400000,257859000000,257517500000,258056700000,258119800000,257784900000,258997500000,258159800000,258337400000,258628300000,258476400000,258369500000,259326800000,257340600000,257837000000,258014800000,258155100000,257742500000,259112100000,258426200000,258494300000,257659700000,258076300000,258529300000
CPU_CLK_UNHALTED_REF,FIXC2,258833400000,258397500000,258487800000,258580200000,258629400000,258473300000,259007200000,258310200000,258419800000,258529800000,258534800000,258458100000,259012100000,258227600000,258387900000,258351500000,258427400000,258353100000,259014300000,258141800000,258293900000,258365400000,258473800000,258381400000,259021500000,258419700000,258526400000,258415400000,258438300000,258419700000,258903300000,257584000000,258063200000,258128700000,258276400000,258061300000,258989000000,257667800000,257379000000,258042300000,258073400000,257914400000,258955400000,257983200000,258221700000,258496900000,258420200000,258322800000,259000400000,257274300000,257872200000,257976300000,258112200000,257796000000,259006600000,258382600000,258451800000,257648700000,257983600000,258371000000
TOPDOWN_SLOTS,FIXC3,1551369000000,1548089000000,1548426000000,1549122000000,1549369000000,1549235000000,1552275000000,1547717000000,1548655000000,1548724000000,1549390000000,1548720000000,1551914000000,1547536000000,1548328000000,1548365000000,1548561000000,1547762000000,1552895000000,1546456000000,1547099000000,1547735000000,1548742000000,1548100000000,1552208000000,1547435000000,1548638000000,1546916000000,1548508000000,1548533000000,1554842000000,1545615000000,1548548000000,1548956000000,1550912000000,1548865000000,1555028000000,1547154000000,1545105000000,1548340000000,1548719000000,1546710000000,1553985000000,1548959000000,1550024000000,1551770000000,1550858000000,1550217000000,1555961000000,1544043000000,1547022000000,1548089000000,1548930000000,1546455000000,1554672000000,1550557000000,1550966000000,1545958000000,1548458000000,1551176000000
L1D_REPLACEMENT,PMC0,52325830000,52235110000,52011670000,51951370000,51896920000,51841070000,52431490000,52339230000,52107860000,52052470000,52006670000,51933830000,52372100000,52282950000,52050760000,51999380000,51933530000,51869450000,52358720000,52243120000,52011670000,51958550000,51901270000,51840620000,52347530000,52240850000,52012730000,51960020000,51900780000,51838050000,52197930000,52113450000,51885030000,51829120000,51777630000,51713940000,51943010000,51850520000,51612220000,51552620000,51499860000,51434820000,52364700000,52279540000,52044710000,51999570000,51928860000,51864030000,51897120000,51784510000,51551200000,51498500000,51440210000,51381450000,51925330000,51835500000,51608560000,51556820000,51500110000,51438420000
L2_LINES_IN_ALL,PMC1,10594690000,10812610000,10776880000,10764480000,10765390000,10541760000,10674250000,10822950000,10734390000,10779190000,10711160000,10608580000,10708310000,10788720000,10738930000,10695170000,10705080000,10584060000,10637860000,10850980000,10769410000,10760500000,10705000000,10574370000,10668740000,10802460000,10789520000,10722960000,10690880000,10541030000,10576610000,10803720000,10752840000,10750870000,10637810000,10550860000,10588650000,10672950000,10635500000,10669890000,10672950000,10531750000,10717060000,10779040000,10744450000,10704860000,10749530000,10593230000,10507340000,10733810000,10668690000,10634890000,10594950000,10454090000,10614710000,10711860000,10706080000,10642220000,10604410000,10454360000
L2_LINES_OUT_SILENT,PMC2,1873027000,2217128000,2249697000,2305425000,2114902000,1537742000,1922506000,2109300000,2234386000,2140064000,2179607000,1799882000,1950152000,2131650000,2077097000,2115276000,2186677000,1920148000,1956614000,2241309000,2205968000,2132003000,2116698000,1676868000,1948060000,2267731000,2203263000,2113335000,2086058000,1806756000,1921213000,2276148000,2316291000,2080493000,2142380000,1614691000,1728627000,1991837000,2182748000,2238608000,2259286000,1804837000,1870624000,2081084000,2048243000,2172715000,2199684000,1879154000,1945815000,2280594000,2206894000,2144441000,2122155000,1629565000,1927322000,2248271000,2191518000,2085008000,2038313000,1815578000
