Kernel,Method,Problem Size,GStencil/s,Ncores,NUMA,INSTR_RETIRED_ANY STAT,Runtime (RDTSC) [s] STAT,Runtime unhalted [s] STAT,Clock [MHz] STAT,CPI STAT,L2D load bandwidth [MBytes/s] STAT,L2D load data volume [GBytes] STAT,L3 load bandwidth [MBytes/s] STAT,L3 load data volume [GBytes] STAT,L3 evict bandwidth [MBytes/s] STAT,L3 evict data volume [GBytes] STAT,Dropped CLs bandwidth [MBytes/s] STAT,Dropped CLs data volume [GBytes] STAT,L3 bandwidth [MBytes/s] STAT,L3 data volume [GBytes] STAT,Memory read bandwidth [MBytes/s] STAT,Memory read data volume [GBytes] STAT,Memory write bandwidth [MBytes/s] STAT,Memory write data volume [GBytes] STAT,Memory bandwidth [MBytes/s] STAT,Memory data volume [GBytes] STAT
j3d7pt,Girih,1800 1800 600 1000,10.276996386999999,60,2,5.211225e+11,191.0525,201.7192,3593.8073,1.3162,58073.5587,11095.0976,11641.2616,2224.0920,7859.3625,1501.5507,3781.8281,722.5276,19500.6242,3725.6427,1839.1448,351.3730,1656.0547,316.3932,3495.1995,667.7663
j3d7pt,Girih,1800 1800 600 1000,20.353139014,60,2,2.605980e+11,96.4684,101.8478,3594.9359,1.3289,57525.7108,5549.4129,11626.7935,1121.6181,9274.0841,894.6560,2352.6182,226.9533,20900.8776,2016.2741,1902.6924,183.5494,1704.0267,164.3845,3606.7191,347.9339
j3d7pt,Girih,1800 1800 600 1000,29.910027744,60,2,173987950000,65.6446,69.2870,3595.4567,1.3540,56352.4700,3699.2336,11428.6370,750.2279,9562.6416,627.7355,1865.8941,122.4858,20991.2785,1377.9634,1934.9606,127.0194,1725.0033,113.2369,3659.9640,240.2563
j3d7pt,Girih,1800 1800 600 1000,38.019723559,60,2,130770625000,51.6422,54.4916,3595.7288,1.4168,53686.8840,2772.5075,10931.2694,564.5145,9118.3963,470.8938,1812.7651,93.6151,20049.6657,1035.4084,1945.0612,100.4469,1723.4760,89.0038,3668.5372,189.4507
j3d7pt,Girih,1800 1800 600 1000,43.02137261,60,2,104735090000,45.6379,45.0945,3367.7951,1.4640,48564.5439,2216.3832,9945.8257,453.9065,8169.5057,372.8390,1776.2245,81.0631,18115.3314,826.7455,1879.4946,85.7759,1653.4624,75.4603,3532.9570,161.2362
j3d7pt,Girih,1800 1800 600 1000,56.505609075,60,2,8.759792e+10,34.7465,36.6356,3596.7534,1.4221,53232.1526,1849.6310,10818.8022,375.9155,9061.3233,314.8493,1757.3517,61.0618,19880.1255,690.7648,1863.8959,64.7636,2495.9896,86.7266,4359.8854,151.4903
j3d7pt,Girih,1800 1800 600 1000,62.608919764999996,60,2,7.556583e+10,31.3593,33.0904,3600.0478,1.4913,50536.7183,1584.7979,10328.5243,323.8957,8381.5532,262.8400,1946.8357,61.0515,18710.0775,586.7356,2030.0084,63.6595,2648.7646,83.0633,4678.7730,146.7228
j3d7pt,Girih,1800 1800 600 1000,70.167122805,60,2,66073405000,27.9810,29.4942,3599.8125,1.5178,49543.0071,1386.2631,10118.2853,283.1198,8383.3198,234.5737,1734.8371,48.5425,18501.6051,517.6935,1840.9974,51.5128,2453.3926,68.6482,4294.3900,120.1610
j3d7pt,Girih,1800 1800 600 1000,72.724000664,60,2,5.913251e+10,26.9975,27.9803,3538.8432,1.6104,45609.2945,1231.3355,9367.1616,252.8896,7574.6518,204.4964,1792.3760,48.3896,16941.8134,457.3861,1907.4707,51.4967,2494.5481,67.3463,4402.0188,118.8430
j3d7pt,Girih,1800 1800 600 1000,77.37623116500001,60,2,5.357236e+10,25.3738,25.4627,3428.5351,1.6164,43655.3743,1107.7011,8980.3443,227.8651,7247.8803,183.9060,1732.3352,43.9559,16228.2246,411.7711,1759.0613,44.6339,2319.8813,58.8640,4078.9426,103.4978
